               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026744,            0.020756,            0.010093,              0.5764,             0.54069,              0.5535,              0.3294,            0.026883,            0.013198,            0.016713,            0.006436,            0.006436,            0.006436
                  38,            0.027445,            0.021051,           0.0091375,             0.53875,             0.53163,             0.54432,             0.35212,              0.0266,            0.012995,            0.016792,            0.006337,            0.006337,            0.006337
                  39,            0.028009,            0.020268,           0.0083219,             0.55924,             0.59886,             0.54922,             0.34215,            0.028323,            0.012919,            0.018305,            0.006238,            0.006238,            0.006238
                  40,            0.026399,             0.01967,           0.0086549,              0.6017,             0.52355,             0.55042,             0.34755,            0.028582,            0.012402,            0.016115,            0.006139,            0.006139,            0.006139
                  41,            0.026619,             0.01962,           0.0087494,             0.55862,             0.57094,             0.53773,             0.33918,            0.028628,             0.01271,            0.017123,             0.00604,             0.00604,             0.00604
                  42,            0.026814,            0.019741,           0.0083191,             0.59612,             0.52855,             0.53972,             0.35055,            0.027865,            0.012906,            0.017773,            0.005941,            0.005941,            0.005941
                  43,            0.026734,            0.019885,           0.0083532,             0.60305,             0.52436,             0.54736,             0.36035,            0.027091,            0.012893,            0.018295,            0.005842,            0.005842,            0.005842
                  44,            0.027004,            0.019981,           0.0083974,             0.62179,             0.57503,             0.55859,             0.36917,            0.027325,            0.013328,            0.018534,            0.005743,            0.005743,            0.005743
                  45,            0.025253,            0.019294,           0.0086541,             0.54547,             0.55524,             0.48114,             0.31117,            0.027835,             0.01338,             0.01747,            0.005644,            0.005644,            0.005644
                  46,            0.026156,            0.019439,           0.0078293,               0.599,             0.55709,             0.52973,             0.36235,            0.027507,            0.013284,             0.01725,            0.005545,            0.005545,            0.005545
                  47,            0.025556,            0.019442,           0.0077545,             0.50365,             0.58842,             0.52537,              0.3506,            0.027183,            0.013317,            0.018282,            0.005446,            0.005446,            0.005446
                  48,             0.02577,            0.019338,           0.0077951,             0.55597,             0.55499,              0.5305,             0.35686,            0.026804,            0.013153,            0.019383,            0.005347,            0.005347,            0.005347
                  49,            0.025531,            0.019173,           0.0067981,             0.59992,             0.51247,             0.53538,             0.34881,            0.027183,            0.013479,             0.01791,            0.005248,            0.005248,            0.005248
                  50,            0.025348,            0.018564,           0.0068969,             0.57862,             0.52292,             0.51409,             0.34277,            0.026823,            0.013462,            0.020034,            0.005149,            0.005149,            0.005149
                  51,            0.024602,            0.018347,           0.0070483,             0.54649,             0.56629,             0.51334,             0.35659,            0.026355,             0.01398,            0.018118,             0.00505,             0.00505,             0.00505
                  52,            0.024083,             0.01812,           0.0063014,             0.49647,             0.56698,             0.49762,             0.32863,            0.026516,            0.013426,            0.018649,            0.004951,            0.004951,            0.004951
                  53,            0.024631,            0.018437,           0.0059924,             0.62344,             0.56759,              0.5257,             0.34731,            0.026748,            0.013367,            0.018413,            0.004852,            0.004852,            0.004852
                  54,            0.024175,            0.017978,           0.0061479,             0.56329,             0.51985,             0.50861,             0.34915,            0.026322,            0.013377,            0.019001,            0.004753,            0.004753,            0.004753
                  55,            0.024842,            0.018028,           0.0059111,             0.62411,              0.5083,              0.5481,             0.35745,               0.027,             0.01357,            0.018296,            0.004654,            0.004654,            0.004654
                  56,            0.023378,            0.017942,           0.0068664,             0.64424,              0.4929,             0.51789,             0.34987,            0.026136,            0.013612,            0.017457,            0.004555,            0.004555,            0.004555
                  57,            0.022849,            0.017044,           0.0063162,             0.57599,             0.50942,             0.53495,             0.34781,            0.026897,            0.013878,            0.018664,            0.004456,            0.004456,            0.004456
                  58,            0.023123,            0.017643,           0.0060692,             0.57544,             0.50168,             0.48964,             0.32976,            0.026654,            0.013855,            0.017374,            0.004357,            0.004357,            0.004357
                  59,            0.022324,            0.017192,           0.0059052,              0.5307,             0.57519,             0.52833,             0.35046,            0.026709,            0.013922,            0.017204,            0.004258,            0.004258,            0.004258
                  60,            0.022928,            0.017188,           0.0057346,             0.59261,             0.53123,             0.51672,             0.34555,             0.02659,            0.013804,            0.017425,            0.004159,            0.004159,            0.004159
                  61,            0.022964,            0.017246,           0.0059484,             0.60697,             0.55327,             0.54643,             0.37176,            0.026425,            0.013515,            0.018929,             0.00406,             0.00406,             0.00406
                  62,            0.022998,            0.017934,           0.0053924,             0.58972,             0.56104,             0.55364,             0.37446,            0.026291,            0.013495,            0.019427,            0.003961,            0.003961,            0.003961
                  63,            0.022171,            0.017633,           0.0056101,             0.53086,             0.56862,             0.53636,             0.37382,            0.026653,            0.013819,            0.019092,            0.003862,            0.003862,            0.003862
                  64,            0.023079,            0.016924,           0.0055656,             0.65704,              0.5052,             0.53176,             0.35405,             0.02687,            0.013435,            0.019523,            0.003763,            0.003763,            0.003763
                  65,            0.021566,             0.01696,           0.0055866,             0.53882,             0.55554,             0.51355,             0.34863,            0.026079,            0.013823,            0.017505,            0.003664,            0.003664,            0.003664
                  66,            0.021801,            0.016947,           0.0058226,             0.51983,              0.5534,              0.5058,              0.3523,            0.026295,            0.013732,            0.018673,            0.003565,            0.003565,            0.003565
                  67,            0.022224,            0.017188,           0.0058706,             0.56434,             0.58611,             0.53015,             0.36491,            0.026303,             0.01368,            0.017668,            0.003466,            0.003466,            0.003466
                  68,            0.021631,              0.0164,           0.0055136,             0.52497,             0.57269,             0.51401,              0.3601,             0.02625,              0.0139,            0.018124,            0.003367,            0.003367,            0.003367
                  69,            0.021801,            0.017034,           0.0046469,             0.61693,             0.52725,             0.51051,             0.35219,            0.026191,            0.013701,            0.017237,            0.003268,            0.003268,            0.003268
                  70,            0.021462,            0.016828,           0.0056367,              0.5444,             0.52116,             0.50816,             0.34643,            0.025933,             0.01395,            0.018363,            0.003169,            0.003169,            0.003169
                  71,            0.021836,            0.016674,           0.0051382,             0.59531,             0.46807,             0.51337,             0.35702,            0.026405,            0.013971,              0.0175,             0.00307,             0.00307,             0.00307
                  72,             0.02048,             0.01652,           0.0051425,             0.53295,             0.51357,             0.52729,             0.36926,            0.026451,            0.013535,             0.01729,            0.002971,            0.002971,            0.002971
                  73,            0.021391,            0.016641,           0.0045179,              0.5942,             0.53625,             0.53664,             0.37495,            0.026674,            0.014213,             0.01903,            0.002872,            0.002872,            0.002872
                  74,             0.02148,            0.016158,           0.0051106,             0.57622,             0.54016,             0.53013,             0.38075,            0.026285,            0.014367,            0.017983,            0.002773,            0.002773,            0.002773
                  75,            0.020368,            0.015991,           0.0040172,             0.61955,             0.53321,             0.54021,             0.38313,            0.025948,             0.01418,            0.018057,            0.002674,            0.002674,            0.002674
                  76,              0.0199,            0.015578,           0.0051286,             0.57207,             0.57888,             0.53701,               0.382,             0.02573,            0.013846,            0.017946,            0.002575,            0.002575,            0.002575
