               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077169,             0.04493,            0.051974,             0.60392,              0.1549,            0.086625,             0.03833,            0.059975,            0.036617,            0.042415,            0.070053,           0.0033275,           0.0033275
                   1,            0.062875,            0.036734,            0.039294,             0.63016,             0.21271,             0.18229,            0.084772,            0.051845,            0.034528,            0.034116,            0.039987,           0.0065948,           0.0065948
                   2,            0.058528,            0.035134,            0.031844,              0.6266,             0.26236,             0.25042,             0.13945,            0.044222,            0.033506,            0.027859,            0.009855,           0.0097962,           0.0097962
                   3,            0.051864,            0.033849,            0.026158,             0.66822,             0.31658,             0.33597,             0.18825,            0.042466,            0.031628,            0.020741,            0.009703,            0.009703,            0.009703
                   4,            0.047082,            0.033046,             0.02096,             0.77426,             0.37614,             0.40343,             0.22633,            0.039263,             0.03052,             0.01701,            0.009703,            0.009703,            0.009703
                   5,             0.04416,            0.031648,            0.018045,             0.86466,             0.39099,             0.43519,             0.26246,            0.036129,            0.029867,            0.014462,            0.009604,            0.009604,            0.009604
                   6,            0.041965,            0.030827,            0.016091,             0.86333,             0.42358,             0.47159,             0.30953,            0.032959,            0.028744,            0.013013,            0.009505,            0.009505,            0.009505
                   7,            0.040764,              0.0303,            0.014613,             0.90226,             0.43099,             0.49619,             0.31244,            0.033344,            0.028607,            0.011908,            0.009406,            0.009406,            0.009406
                   8,            0.039522,             0.03016,            0.013596,             0.89748,             0.44868,             0.52846,             0.34258,            0.032399,            0.028027,            0.010692,            0.009307,            0.009307,            0.009307
                   9,            0.038471,            0.029491,            0.012481,             0.89656,              0.4633,             0.55335,             0.36554,             0.03103,            0.027465,           0.0098384,            0.009208,            0.009208,            0.009208
                  10,            0.037666,            0.028811,            0.011878,             0.89412,             0.48477,             0.56721,             0.37197,            0.029956,            0.026837,           0.0094399,            0.009109,            0.009109,            0.009109
                  11,            0.036919,            0.028548,            0.011226,             0.88382,             0.51406,             0.61593,             0.40254,            0.029948,            0.026948,           0.0090822,             0.00901,             0.00901,             0.00901
                  12,            0.036625,            0.028592,            0.010796,             0.87585,             0.53997,             0.63446,             0.42148,            0.029203,            0.026234,           0.0084356,            0.008911,            0.008911,            0.008911
                  13,            0.035542,             0.02773,            0.010117,             0.84844,             0.57915,             0.66845,             0.43891,            0.029109,            0.026227,           0.0082772,            0.008812,            0.008812,            0.008812
