               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08244,            0.050406,            0.054992,             0.48489,             0.12111,            0.058808,            0.022686,            0.066916,            0.041094,            0.044508,            0.070053,           0.0033275,           0.0033275
                   1,            0.065169,            0.042397,            0.041053,             0.54232,             0.20414,             0.11557,             0.05759,            0.054775,            0.039468,            0.036164,            0.039987,           0.0065948,           0.0065948
                   2,            0.061467,            0.040825,            0.034242,             0.58913,             0.20643,             0.18249,            0.080231,             0.05403,            0.038704,            0.029676,            0.009855,           0.0097962,           0.0097962
                   3,            0.055611,            0.039369,            0.028767,             0.66201,             0.24673,             0.25758,             0.14564,            0.044409,            0.036818,            0.024076,            0.009703,            0.009703,            0.009703
                   4,            0.051262,             0.03843,            0.024281,             0.65822,             0.29869,             0.30543,             0.17141,            0.043434,            0.036045,            0.020586,            0.009703,            0.009703,            0.009703
                   5,            0.048502,            0.037452,            0.021343,             0.75505,             0.31935,             0.35579,             0.20613,            0.040829,            0.035063,            0.017556,            0.009604,            0.009604,            0.009604
                   6,            0.046613,            0.037066,            0.019181,             0.80295,             0.32046,             0.38811,             0.22648,            0.038941,            0.034263,             0.01583,            0.009505,            0.009505,            0.009505
                   7,            0.045223,            0.035366,            0.017718,             0.81988,             0.36235,             0.41111,             0.25982,            0.038134,            0.034047,            0.014659,            0.009406,            0.009406,            0.009406
                   8,            0.044315,             0.03617,            0.016388,             0.86054,             0.37666,             0.43111,              0.2697,            0.037187,             0.03325,            0.013633,            0.009307,            0.009307,            0.009307
                   9,            0.043373,            0.035566,            0.015432,             0.83831,             0.38348,             0.46434,             0.28936,            0.035822,            0.032799,             0.01304,            0.009208,            0.009208,            0.009208
                  10,            0.042371,            0.034396,            0.014759,             0.82855,             0.41703,             0.48772,             0.30177,             0.03529,            0.032577,            0.012017,            0.009109,            0.009109,            0.009109
                  11,            0.041624,            0.034494,            0.014007,             0.80257,             0.45004,             0.50439,              0.3176,            0.034722,            0.032171,            0.011899,             0.00901,             0.00901,             0.00901
                  12,            0.041084,            0.034121,            0.013489,             0.84132,             0.45602,             0.52726,             0.33562,            0.034092,            0.031722,            0.011202,            0.008911,            0.008911,            0.008911
                  13,            0.040657,            0.033666,            0.012903,             0.85456,             0.46115,             0.54336,             0.33401,            0.034449,            0.031526,            0.010644,            0.008812,            0.008812,            0.008812
                  14,            0.039833,            0.033541,            0.012454,               0.845,             0.49448,             0.57481,              0.3653,            0.033771,            0.031078,            0.010103,            0.008713,            0.008713,            0.008713
                  15,            0.039405,               0.033,            0.011887,             0.78294,             0.51432,              0.5882,              0.3719,            0.032754,            0.030846,           0.0098584,            0.008614,            0.008614,            0.008614
                  16,            0.039359,            0.033637,            0.011563,             0.85785,             0.53183,             0.61381,             0.37875,            0.032508,            0.030701,           0.0095445,            0.008515,            0.008515,            0.008515
                  17,            0.038725,              0.0327,            0.011218,             0.87906,             0.53092,             0.62817,             0.39378,            0.032546,            0.030585,           0.0090363,            0.008416,            0.008416,            0.008416
                  18,            0.038503,            0.032507,            0.010862,             0.85032,             0.53633,             0.62697,             0.40167,             0.03171,            0.030024,           0.0088743,            0.008317,            0.008317,            0.008317
                  19,            0.037832,            0.032301,            0.010481,             0.86533,               0.555,             0.63754,             0.40354,            0.031062,            0.029856,            0.008457,            0.008218,            0.008218,            0.008218
                  20,            0.037438,            0.032501,            0.010267,             0.89242,             0.55342,             0.65269,             0.41267,            0.030968,            0.029868,           0.0082638,            0.008119,            0.008119,            0.008119
                  21,            0.037242,            0.032393,             0.01018,             0.87482,             0.56498,             0.64657,             0.41233,            0.030525,             0.02933,           0.0081643,             0.00802,             0.00802,             0.00802
                  22,            0.036588,            0.031904,           0.0099649,             0.88332,              0.5597,             0.65509,             0.41881,            0.030745,            0.029566,           0.0079321,            0.007921,            0.007921,            0.007921
                  23,            0.036505,            0.031807,           0.0097725,             0.88591,             0.57875,             0.65862,             0.42413,             0.03004,             0.02912,           0.0079048,            0.007822,            0.007822,            0.007822
                  24,            0.036201,            0.031432,             0.00947,             0.91574,             0.55831,             0.65759,             0.42723,             0.03008,            0.028976,           0.0076364,            0.007723,            0.007723,            0.007723
                  25,            0.035836,            0.031034,           0.0092813,             0.90184,             0.57961,             0.67228,             0.43949,            0.029717,             0.02875,           0.0075192,            0.007624,            0.007624,            0.007624
                  26,            0.035555,            0.030812,            0.009159,             0.87885,             0.58397,             0.68498,             0.44179,            0.029437,            0.028605,           0.0074363,            0.007525,            0.007525,            0.007525
                  27,            0.035338,            0.031086,           0.0090641,             0.87858,             0.58998,             0.69245,             0.43807,            0.029383,            0.028496,           0.0073138,            0.007426,            0.007426,            0.007426
                  28,            0.035166,            0.030393,           0.0089322,             0.89325,             0.59218,             0.69116,             0.44468,            0.029195,            0.028408,           0.0072186,            0.007327,            0.007327,            0.007327
                  29,            0.034553,            0.030102,           0.0086786,             0.90172,             0.61263,             0.70303,             0.44842,            0.029243,            0.028368,           0.0071314,            0.007228,            0.007228,            0.007228
                  30,            0.034649,            0.030493,           0.0088636,             0.88086,             0.61622,             0.70249,             0.45224,             0.02893,            0.028055,           0.0070654,            0.007129,            0.007129,            0.007129
                  31,            0.034393,            0.030169,           0.0084341,             0.88526,             0.62435,             0.71559,             0.46264,            0.028728,            0.027972,           0.0068738,             0.00703,             0.00703,             0.00703
                  32,            0.033869,            0.029746,           0.0084101,             0.91133,             0.61172,             0.72174,             0.46734,            0.028536,            0.027719,           0.0067923,            0.006931,            0.006931,            0.006931
                  33,            0.034181,            0.029809,           0.0082754,             0.89597,             0.61664,              0.7197,             0.46591,            0.028355,            0.027596,           0.0066572,            0.006832,            0.006832,            0.006832
                  34,            0.033611,              0.0296,           0.0080844,             0.89867,              0.6185,             0.72112,             0.47199,             0.02822,            0.027529,           0.0067365,            0.006733,            0.006733,            0.006733
                  35,            0.033692,             0.02933,           0.0081532,              0.9106,             0.61894,             0.72629,             0.47505,            0.028147,            0.027522,           0.0066974,            0.006634,            0.006634,            0.006634
                  36,            0.033238,            0.029355,           0.0079641,             0.89879,             0.62943,             0.72508,             0.47928,            0.027934,            0.027326,           0.0065108,            0.006535,            0.006535,            0.006535
                  37,             0.03346,            0.029599,           0.0080061,             0.89285,             0.63852,             0.72312,             0.47301,             0.02791,            0.027382,           0.0065596,            0.006436,            0.006436,            0.006436
                  38,            0.032687,            0.029442,           0.0079829,             0.89612,             0.63255,             0.72934,             0.47651,            0.027803,            0.027288,           0.0063559,            0.006337,            0.006337,            0.006337
                  39,             0.03281,            0.029196,           0.0077591,               0.906,             0.63778,             0.72654,             0.48057,            0.027575,            0.027133,           0.0063202,            0.006238,            0.006238,            0.006238
                  40,            0.032709,            0.029193,           0.0077342,             0.89537,              0.6309,             0.72485,             0.48245,            0.027581,             0.02712,           0.0063206,            0.006139,            0.006139,            0.006139
                  41,            0.032539,            0.029192,           0.0076115,             0.90195,             0.63772,             0.74097,              0.4915,            0.027405,            0.026793,           0.0062757,             0.00604,             0.00604,             0.00604
                  42,             0.03234,            0.029089,           0.0075974,             0.91374,              0.6425,             0.74545,             0.49026,            0.027262,            0.026791,            0.006145,            0.005941,            0.005941,            0.005941
                  43,            0.032119,            0.028767,           0.0075728,               0.901,             0.64636,              0.7334,             0.49025,            0.027148,            0.026693,           0.0060704,            0.005842,            0.005842,            0.005842
                  44,            0.031934,            0.028735,            0.007423,             0.90954,             0.64249,             0.74728,             0.49156,            0.027024,            0.026539,           0.0060981,            0.005743,            0.005743,            0.005743
                  45,            0.031839,            0.028631,           0.0073047,             0.91191,             0.63222,             0.73364,             0.48952,            0.027098,            0.026629,           0.0059896,            0.005644,            0.005644,            0.005644
                  46,            0.031541,            0.028419,            0.007213,             0.90003,             0.63699,             0.73583,              0.4934,            0.026883,            0.026455,            0.006012,            0.005545,            0.005545,            0.005545
                  47,            0.031396,            0.028161,            0.007224,             0.90938,             0.64514,             0.74207,             0.49589,             0.02663,            0.026253,           0.0059069,            0.005446,            0.005446,            0.005446
                  48,            0.031936,            0.028905,           0.0074319,             0.90728,             0.64404,             0.74046,             0.49321,            0.026637,            0.026219,           0.0059397,            0.005347,            0.005347,            0.005347
                  49,            0.031321,            0.028209,           0.0072278,             0.89765,             0.64197,             0.73046,             0.49677,            0.026614,             0.02615,           0.0058338,            0.005248,            0.005248,            0.005248
                  50,            0.031281,            0.028224,           0.0072031,             0.87344,             0.65583,             0.74628,             0.50275,            0.026493,            0.026215,           0.0058524,            0.005149,            0.005149,            0.005149
